Function Selector,Resolved Function Signature,Payable,View,Pure,Returns,Entry Point,Branch Count,Emitted Events,Custom Errors,Storage Slots,Strings,Hardcoded Addresses,Minimum Gas Used,Maximum Gas Used,Average Gas Used,External Calls Made,Control Statements
26782247,"pendingAdmin()",false,true,false,uint256,1305,1,"","","0x07","","",21208,23428,22319,"",""
dd62ed3e,"allowance(arg0 address, arg1 address)",false,false,true,,2937,3,"","","","","",21250,21465,21365,"","if (arg0 == (address(arg0))) { .. }
if (arg1 == (address(arg1))) { .. }"
92eefe9b,"setController(arg0 address)",false,false,false,,2228,4,"","","0x10
0x06","require admin auth","",21185,28673,22918,"","if (arg0 == (address(arg0))) { .. }
if (msg.sender == (address(storage[0x06]))) { .. }"
ce603aad,"divScalarByExp(arg0 uint256, arg1 uint256)",false,false,true,uint256,2788,15,"","","","SafeMath: multiplication overflow
SafeMath: division by zero","",21228,22171,21450,"","if (arg1) { .. }"
4dd18bf5,"setPendingAdmin(arg0 address)",false,false,false,,1660,4," NewPendingAdmin(address,address)","","0x06
0x07","require admin auth","",21185,30035,23088,"","if (msg.sender == (address(storage[0x06]))) { .. }
if (arg0 == (address(arg0))) { .. }"
7715632e,"Unresolved_7715632e(arg0 bytes, arg1 address, arg2 address)",false,false,true,,2027,3,"","","","","",21206,21453,21343,"","if (arg1 == (address(arg1))) { .. }
if (arg2 == (address(arg2))) { .. }"
4751b79c,"divScalar(arg0 uint256, arg1 uint256)",false,false,true,uint256,1574,8,"","","","SafeMath: division by zero","",21208,21801,21527,"","if (arg1) { .. }"
81565600,"repayBorrow(arg0 uint256, arg1 address, arg2 uint256)",false,false,false,,2091,50,"","","0x0c
0x01 + keccak256(memory[0])
0x10
0 + keccak256(memory[0])
0x0b
0x08
0x0e
keccak256(memory[0])
0x0d
0x0f
0x13","SafeMath: multiplication overflow
SafeMath: addition overflow
invalid repay amount
Address: call to non-contract
ETH value not enough
ERC20 don't accecpt ETH
SafeERC20: ERC20 operation did not succeed
block number check fails
SafeMath: division by zero","",21292,49188,30377,"address(address(storage[0x10])).call{ value: 0 }(0x778c610a00000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(0x08c379a000000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(ret0.length, 0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, storage[(0x01 + keccak256(memory[0]))], 0, 0);","if (!((storage[0x0f] > (~((memory[(0 + memory[0x40])])))))) { .. }
if (storage[0x0d]) { .. }
if (!((!((address((address(storage[0x10]))).code.length))))) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!(((storage[0x0f] + (memory[(0 + memory[0x40])])) < storage[0x0f]))) { .. }
if (!(((storage[0x0d]) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / storage[0x0d])))))) { .. }
if (!((0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee == (address(storage[0x13]))))) { .. }
if (!((arg2 == 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff))) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (address((address((address(storage[0x13]))))).code.length) { .. }
if (storage[0x0e] == block.number) { .. }
if (storage[(0x01 + keccak256(memory[0]))]) { .. }
if (storage[keccak256(memory[0])]) { .. }
if (((storage[0x0d] * 0x0de0b6b3a7640000) / storage[0x0d]) == 0x0de0b6b3a7640000) { .. }
if (!((!((address((address(storage[0x13]))).code.length))))) { .. }
if (arg1 == (address(arg1))) { .. }"
c8e9f47d,"orderLiquidated(arg0 uint256)",false,true,false,bytes memory,2716,2,"","","keccak256(memory[0])
keccak256(memory[0]) + 0x01","","",21206,25749,22382,"",""
74944da3,"liquidatedOrders(arg0 uint256)",false,true,false,bytes memory,1918,2,"","","keccak256(memory[0])
keccak256(memory[0]) + 0x01","","",21184,25727,22360,"",""
